Beef Kufta Kebab Platter,$15.50,Cafe Eden,$$,000000053.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/vkVLavZ1HkeB_vPmSoOnDg/258s.jpg
Manaeech,$6.00,Cafe Eden,$$,000000054.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/V6iYPDQ-0bDaxhB963-NRA/258s.jpg
Lentil Soup and Tabbuleh Salad,$6.90,Cafe Eden,$$,000000055.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/U8XudwXsYSCJCFJEp82Hhg/258s.jpg
Poblano Chicken Pasty,$5.75,Claudias Pastes,$,000000056.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/QCPIAzcXzf8Hj6AYvv-luw/258s.jpg
Green Mole Chicken Pasty,$5.75,Claudias Pastes,$,000000057.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/ufdbfUf1m6etndRwNsCssA/258s.jpg
Red Mole Chicken Pasty,$5.75,Claudias Pastes,$,000000058.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/fEiwSykm6YcI0HyuljQbNw/258s.jpg
Beef Pasty,$6.50,Claudias Pastes,$,000000059.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/LCwbrforFMV2O1uLN_B5cg/258s.jpg
Spinach and Feta Pasty,$5.75,Claudias Pastes,$,000000060.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/ssupObnHCkO45OeNi0xINA/258s.jpg
Curry Ramen,$7.95,Kumako,$$,000000061.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/1ODpLx9WujXkUYId-vE9Bg/258s.jpg
Shoyu Ramen,$7.95,Kumako,$$,000000062.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/_LX8XpRzTnOp_bXFtxRrLQ/258s.jpg
Special Miso Ramen,$7.95,Kumako,$$,000000063.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/E08lG2AI5HiTOwM3UQK-Ug/258s.jpg
Tonkatsu Ramen,$7.95,Kumako,$$,000000064.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/Dv3n7YUHUpxK5unMu_7oAA/258s.jpg
Charsu Ramen,$8.50,Kumako,$$,000000065.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/r_OnigUe3JdSagum2Ycphg/258s.jpg
Pho Ga,$16.00,Com Ga Nam An,$,000000066.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/4AosyAopJeB-HZo19S0KTw/258s.jpg
Goi Ga,$19.50,Com Ga Nam An,$,000000067.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/UEV2jyhsKj-zw1Pne6usYA/258s.jpg
Pho Ga Kho,$16.50,Com Ga Nam An,$,000000068.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/7jBvOpKK02_01eLdIPuGPw/258s.jpg
Mien Ga,$16.00,Com Ga Nam An,$,000000069.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/gkuMPXZg9qj_mJ95vLBOig/258s.jpg
Chao Ga,$15.00,Com Ga Nam An,$,000000070.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/3RCtQsp2PrZwzG1kj49IIg/258s.jpg
Chao Goi Ga,$16.50,Com Ga Nam An,$,000000071.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/UEV2jyhsKj-zw1Pne6usYA/258s.jpg
Classic Smash,$5.39,Smashburger,$$,000000072.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/Uem7ARyW27jhfSBb08k5vw/258s.jpg
Avocado Ranch Black Bean Burger,$6.39,Smashburger,$$,000000073.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/IgK3UDqsK8xnC4zxvvZdHg/258s.jpg
Vodka Alla Pollo,$18.50,Vito’s Trattoria,$$,000000074.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/xjDhjvFGwXnKC8tL1ka79g/258s.jpg
Tiramisu,$8.00,Vito’s Trattoria,$$,000000075.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/n2Cd_Yt41DCm0ktK4xs03w/258s.jpg
Lasagna,$17.95,Vito’s Trattoria,$$,000000076.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/RzPja0bYyLAyn2RD7xkC5g/258s.jpg
Caprese,$9.50,Vito’s Trattoria,$$,000000077.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/Coj0nY2MnKec2OBXxabPCA/258s.jpg
Caesar Salad,$4.50,Vito’s Trattoria,$$,000000078.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/cw6rgFGk3cWMyiz9uce5tg/258s.jpg
Spinach Salad,$4.50,Vito’s Trattoria,$$,000000079.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/bN6mZruoIDkOOJw5c6YzjQ/258s.jpg
Crab Cakes,$12.95,Vito’s Trattoria,$$,000000080.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/JPtZ1T5nf8Y6-191MVH6ow/258s.jpg
Baked Penne Alla Siciliana,$17.50,Vito’s Trattoria,$$,000000081.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/i2vQyJG8c-rlIPGqCOnQOQ/258s.jpg
Vodka Pollo,$16.50,Vito’s Trattoria,$$,000000082.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/1Q31D-hRDJV0KaljiQ2R8g/258s.jpg
Pasta Primavera,$17.50,Vito’s Trattoria,$$,000000083.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/jXWHLsON1AgYHRVZMtt_Dg/258s.jpg
Pad Thai,$10.00,Bistro Siam,$$,000000084.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/dYowdtenO9laNyYrkewm8w/258s.jpg
Red Curry,$12.00,Bistro Siam,$$,000000085.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/9OZjwjTXsBLuX4wdcDl3rQ/258s.jpg
Crab Fried Rice,$13.00,Bistro Siam,$$,000000086.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/MaO4ktgRm91-20wvW-Cabg/258s.jpg
Pad See-ew,$10.00,Bistro Siam,$$,000000087.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/6Z9BZOmFIBkJg4-NQlDDxA/258s.jpg
Panang Curry,$12.00,Bistro Siam,$$,000000088.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/78s9rbJmlROwu2oBph20qQ/258s.jpg
Yellow Curry,$12.00,Bistro Siam,$$,000000089.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/-TdQGBW1ZFMoE3YMYWh3fw/258s.jpg
Pineapple Fried Rice,$11.00,Bistro Siam,$$,000000090.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/1uSVtzXe7pZSwwoz5UU9bQ/258s.jpg
